,orig_nq,reused_nq,active_nq,orig_ncx,sab,ru+sab,ru+mp+sab,ru+mp+rt,ha,fsqm
cc_n10,10.0,8.0,2.0,9.0,6.0,0.0,0.0,0.0,,9.0
cm152a_212,12.0,4.0,8.0,532.0,192.0,249.0,438.0,162.0,,180.0
cm42a_207,14.0,4.0,10.0,771.0,297.0,318.0,678.0,201.0,,366.0
cnt3-5_179,16.0,12.0,4.0,85.0,33.0,0.0,0.0,0.0,,18.0
cnt3-5_180,16.0,11.0,5.0,215.0,66.0,78.0,165.0,87.0,,102.0
co14_215,15.0,0.0,15.0,7840.0,7455.0,6891.0,12630.0,4665.0,6429.0,4737.0
cycle10_2_110,12.0,0.0,12.0,2648.0,1950.0,2067.0,3846.0,1191.0,1719.0,1536.0
dc2_222,15.0,1.0,14.0,4131.0,3390.0,3519.0,5691.0,2487.0,,2784.0
decod24-bdd_294,6.0,3.0,3.0,32.0,12.0,0.0,0.0,0.0,,12.0
decod24-v2_43,4.0,0.0,4.0,22.0,0.0,0.0,0.0,0.0,,0.0
deutsch_n2,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,
dnn_n2,2.0,0.0,2.0,42.0,0.0,0.0,0.0,0.0,,
dnn_n8,8.0,0.0,8.0,192.0,0.0,0.0,0.0,0.0,,
ex1_226,6.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,,0.0
fredkin_n3,3.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,,
ghz_state_n23,23.0,21.0,2.0,22.0,,0.0,0.0,0.0,,
graycode6_47,6.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,,0.0
grover_n2,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,
hhl_n7,7.0,0.0,7.0,196.0,18.0,18.0,24.0,18.0,,
hs4_n4,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,,
hwb9_119,10.0,0.0,10.0,90955.0,,,,,,50427.0
inc_237,16.0,2.0,14.0,4636.0,3225.0,3369.0,6255.0,2403.0,,2952.0
ising_model_10,10.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
ising_model_13,13.0,2.0,11.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
ising_model_16,16.0,5.0,11.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
ising_n10,10.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,,
ising_n26,26.0,22.0,4.0,50.0,,0.0,0.0,0.0,,
iswap_n2,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,
knn_n25,25.0,22.0,3.0,96.0,,0.0,0.0,0.0,,
linearsolver_n3,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,,
lpn_n5,5.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,,
mini_alu_305,10.0,4.0,6.0,77.0,33.0,21.0,18.0,12.0,,60.0
misex1_241,15.0,0.0,15.0,2100.0,927.0,1050.0,2496.0,720.0,942.0,1065.0
mod5mils_65,5.0,2.0,3.0,16.0,0.0,0.0,0.0,0.0,,0.0
multiply_n13,13.0,4.0,9.0,43.0,18.0,12.0,15.0,18.0,,
pea_n5,5.0,0.0,5.0,42.0,3.0,3.0,3.0,3.0,,
pm1_249,14.0,4.0,10.0,771.0,324.0,318.0,672.0,195.0,,366.0
qaoa_n3,3.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,,
qaoa_n6,6.0,0.0,6.0,54.0,6.0,6.0,6.0,9.0,,
qec_en_n5,5.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,,
qft_10,10.0,0.0,10.0,90.0,30.0,33.0,30.0,27.0,36.0,39.0
qft_13,13.0,0.0,13.0,156.0,69.0,69.0,78.0,66.0,78.0,105.0
qft_16,16.0,0.0,16.0,240.0,135.0,135.0,189.0,126.0,174.0,147.0
qft_20,20.0,0.0,20.0,380.0,255.0,249.0,366.0,267.0,,423.0
qft_n4,4.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,,
qpe_n9,9.0,3.0,6.0,43.0,9.0,9.0,6.0,6.0,,
qram_n20,20.0,7.0,13.0,136.0,81.0,69.0,120.0,69.0,,
quantumwalks_n2,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,,
radd_250,13.0,1.0,12.0,1405.0,1143.0,1023.0,1851.0,801.0,840.0,897.0
rd32-v0_66,4.0,1.0,3.0,16.0,0.0,0.0,0.0,0.0,,6.0
rd32-v1_68,4.0,1.0,3.0,16.0,0.0,0.0,0.0,0.0,,6.0
rd53_138,8.0,3.0,5.0,60.0,33.0,21.0,18.0,12.0,,57.0
rd53_311,13.0,6.0,7.0,124.0,60.0,48.0,45.0,51.0,,69.0
rd73_140,10.0,5.0,5.0,104.0,60.0,45.0,33.0,24.0,,48.0
rd73_252,10.0,0.0,10.0,2319.0,1740.0,1710.0,3072.0,1122.0,1635.0,1320.0
rd84_142,15.0,8.0,7.0,154.0,111.0,57.0,90.0,39.0,,81.0
rd84_253,12.0,0.0,12.0,5960.0,5427.0,5670.0,8673.0,3249.0,3843.0,3774.0
simon_n6,6.0,3.0,3.0,14.0,0.0,0.0,0.0,0.0,,
sqn_258,10.0,0.0,10.0,4459.0,3282.0,3750.0,6042.0,2310.0,2712.0,2277.0
squar5_261,13.0,2.0,11.0,869.0,477.0,492.0,960.0,312.0,,483.0
square_root_7,15.0,0.0,15.0,3089.0,2262.0,2121.0,4458.0,1521.0,828.0,1512.0
swap_test_n25,25.0,22.0,3.0,96.0,,0.0,0.0,0.0,,
sym6_145,7.0,0.0,7.0,1701.0,1065.0,867.0,1896.0,666.0,786.0,606.0
sym6_316,14.0,8.0,6.0,123.0,63.0,45.0,57.0,24.0,,108.0
sym9_146,12.0,7.0,5.0,148.0,96.0,72.0,54.0,36.0,,108.0
sym9_193,11.0,0.0,11.0,15232.0,,,,8541.0,11553.0,9234.0
sys6-v0_111,10.0,4.0,6.0,98.0,63.0,39.0,33.0,27.0,,72.0
system9,12.0,5.0,7.0,150.0,90.0,81.0,93.0,54.0,,
teleportation_n3,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,,
test1,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,
test2,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0
test3,5.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,,
toffoli_n3,3.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,,
urf4_187,11.0,0.0,11.0,224028.0,,,,,,119166.0
urf5_158,9.0,0.0,9.0,71932.0,,,,46779.0,,47079.0
variational_n4,4.0,1.0,3.0,16.0,0.0,0.0,0.0,0.0,,
vqe_n4,4.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,,
wstate_n27,27.0,23.0,4.0,52.0,,0.0,0.0,0.0,,
wstate_n3,3.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,,
z4_268,11.0,1.0,10.0,1343.0,1014.0,999.0,1707.0,594.0,801.0,651.0
xor5_254,,,,,,,,0.0,,
