,orig_nq,reused_nq,active_nq,orig_ncx,sab,ru+sab,ru+mp+sab,ru+mp+rt,ha,fsqm
4gt11_83,5.0,2.0,3.0,14.0,3.3,0.0,0.0,0.0,,6.0
4gt11_84,4.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,,0.0
4gt13_92,5.0,0.0,5.0,30.0,2.1,1.8,0.0,0.0,,0.0
4mod5-bdd_287,7.0,3.0,4.0,31.0,12.9,6.0,0.0,0.0,,15.0
4mod5-v0_18,5.0,1.0,4.0,31.0,14.4,7.8,0.0,0.0,,21.0
4mod5-v0_19,5.0,2.0,3.0,16.0,5.4,0.0,0.0,0.0,,0.0
4mod5-v0_20,5.0,2.0,3.0,10.0,0.3,0.0,0.0,0.0,,0.0
4mod5-v1_22,5.0,2.0,3.0,11.0,1.2,0.0,0.0,0.0,,0.0
4mod5-v1_23,5.0,1.0,4.0,32.0,14.7,13.8,0.0,0.0,,18.0
4mod5-v1_24,5.0,1.0,4.0,16.0,3.0,0.0,0.0,0.0,,0.0
adder_n10,10.0,0.0,10.0,65.0,12.6,14.7,0.0,0.0,,
adder_n4,4.0,0.0,4.0,10.0,0.0,0.3,0.0,0.0,,
adr4_197,13.0,0.0,13.0,1498.0,1239.9,1257.9,2100.3,975.9,882.0,972.0
alu-bdd_288,7.0,2.0,5.0,38.0,22.8,24.0,15.6,9.0,,21.0
alu-v0_27,5.0,1.0,4.0,17.0,3.9,1.2,0.0,0.0,,3.0
alu-v0_27_example,5.0,1.0,4.0,17.0,3.9,4.2,0.0,0.0,,3.0
alu-v1_28,5.0,1.0,4.0,18.0,3.6,1.2,0.0,0.0,,3.0
alu-v1_29,5.0,1.0,4.0,17.0,5.1,1.8,0.0,0.0,,3.0
alu-v2_33,5.0,1.0,4.0,17.0,4.5,2.1,0.0,0.0,,3.0
alu-v3_34,5.0,1.0,4.0,24.0,4.8,4.8,0.0,0.0,,9.0
alu-v3_35,5.0,1.0,4.0,18.0,6.3,2.4,0.0,0.0,,3.0
alu-v4_37,5.0,1.0,4.0,18.0,5.7,4.8,0.0,0.0,,3.0
basis_change_n3,3.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,,
